地域,15歳未満人口割合,15～64歳人口割合,65歳以上人口割合,人口増減率
北海道,9.9,56.9,33.3,-0.97
青森県,9.8,54.5,35.7,-1.66
岩手県,10.1,54.5,35.4,-1.57
宮城県,10.8,59.6,29.6,-0.73
秋田県,8.8,51.6,39.5,-1.87
山形県,10.4,54,35.6,-1.49
福島県,10.5,55.8,33.7,-1.35
茨城県,10.8,58.3,30.9,-0.64
栃木県,10.8,58.7,30.5,-0.66
群馬県,10.8,58.1,31.1,-0.62
埼玉県,11.1,61.4,27.5,0.01
千葉県,11,60.9,28.1,-0.08
東京都,10.5,66.8,22.7,0.66
神奈川県,10.9,63.1,26,-0.05
新潟県,10.5,55.4,34.2,-1.29
富山県,10.5,56.2,33.2,-1
石川県,11.3,58,30.7,-1
福井県,11.7,56.5,31.8,-0.77
山梨県,10.8,57.2,32,-0.63
長野県,11.2,55.9,32.9,-0.84
岐阜県,11.4,57.2,31.4,-0.81
静岡県,11.1,57.7,31.2,-0.8
愛知県,12.2,62,25.8,-0.23
三重県,11.2,57.9,30.9,-0.94
滋賀県,12.7,60,27.3,-0.32
京都府,10.6,59.6,29.8,-0.6
大阪府,11.1,61.3,27.6,-0.07
兵庫県,11.5,58.3,30.2,-0.61
奈良県,11,56.1,32.9,-0.8
和歌山県,10.9,54.6,34.5,-1.34
鳥取県,11.8,54.5,33.7,-1.16
島根県,11.7,53.1,35.2,-1.16
岡山県,11.7,57.1,31.2,-0.84
広島県,11.8,57.8,30.4,-0.86
山口県,10.8,53.7,35.5,-1.26
徳島県,10.4,53.9,35.7,-1.36
香川県,11.4,55.8,32.8,-0.93
愛媛県,10.8,54.7,34.5,-1.22
高知県,10.3,53.1,36.6,-1.56
福岡県,12.4,59,28.6,-0.21
佐賀県,12.7,55.3,32,-0.82
長崎県,11.9,53.4,34.7,-1.21
熊本県,12.6,54.8,32.6,-0.69
大分県,11.4,54.2,34.4,-1
宮崎県,12.5,53.5,33.9,-0.89
鹿児島県,12.5,53.3,34.2,-1.1
沖縄県,15.8,60,24.2,-0.11
